"plot","ARLU","BOCU","CAHU","CEFE","CIWH","COAN","ELEL","ERAL","ERNA","ERNE","FEAR","GECA","HEMU","LIDA","LIMU","LOWR","MACA","MUMO","MUWR","OEEL","PEVI","PIPR","PSMA","PSTE","QUGA","SCSC","STPA","TAOF","TRRA"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2",0.0151515151515152,0,0,0.0757575757575758,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303030303030303,0,0,0,0.606060606060606,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0.0222222222222222,0,0,0,0,0,0,0,0.177777777777778,0.177777777777778,0,0,0.533333333333333,0,0,0,0.0888888888888889,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0.0344827586206897,0,0,0,0,0,0,0.275862068965517,0,0,0.689655172413793,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0.00772200772200772,0,0,0,0.00772200772200772,0,0,0,0,0.0193050193050193,0,0,0.965250965250965,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0.666666666666667,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444444444,0,0,0,0.533333333333333,0,0,0,0.0222222222222222,0,0,0
"9",0,0,0,0,0,0,0.0579710144927536,0,0,0,0,0,0,0,0,0,0,0.927536231884058,0,0,0,0.0144927536231884,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0.705882352941177,0,0,0,0,0,0,0,0,0,0,0.235294117647059,0,0,0,0.0588235294117647,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0.0476190476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.952380952380952,0,0,0,0,0,0,0
"14",0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0.48,0,0,0,0.4,0,0,0,0,0,0,0
"15",0,0,0,0,0.0869565217391304,0,0.173913043478261,0,0.0434782608695652,0.0434782608695652,0,0,0,0,0,0,0.0434782608695652,0.347826086956522,0,0,0,0.260869565217391,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.25,0,0,0,0
"17",0,0.285714285714286,0.0476190476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285714285714286,0,0,0,0.380952380952381,0,0,0
