"plot","ARDR","ARLU","ASHU","BADI","BOCU","CAHU","CARO","CEFE","CHAL","CIWH","COAN","COCA","CRGR","ELEL","ERAL","ERNE","ERSP","FEAR","GECA","HEMU","LASE","LIDA","LIMU","LOWR","LUAR","MACA","MUMO","MUST","MUWR","OEEL","PAMU","PEVI","PIPR","POOL","PSMA","PSTE","QUGA","SATR","SCSC","TRRA","VETH","VIPU"
"1",0,0,0,0,0,0,0.0483870967741935,0,0,0,0.0161290322580645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.935483870967742,0,0,0,0,0,0,0,0,0
"2",0,0.037037037037037,0,0,0,0,0.888888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0740740740740741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0714285714285714,0,0,0,0,0,0.928571428571429,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0.412371134020619,0,0.360824742268041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206185567010309,0,0,0,0,0,0,0,0.0103092783505155,0.0103092783505155
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366666666666667,0,0,0,0,0,0.633333333333333,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0766871165644172,0,0,0,0.00306748466257669,0,0,0,0,0,0,0,0,0,0,0.920245398773006,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00641025641025641,0,0,0,0,0,0.993589743589744,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.685714285714286,0,0,0,0,0,0,0,0,0.0571428571428571,0,0,0,0,0,0.257142857142857,0,0,0,0,0,0,0,0,0
"9",0,0.0568181818181818,0,0,0,0,0.397727272727273,0,0,0,0,0,0,0.0852272727272727,0,0,0,0,0,0,0,0,0,0.00568181818181818,0,0,0.454545454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0.318181818181818,0,0,0,0,0,0,0.590909090909091,0,0,0,0,0,0,0,0,0,0,0,0,0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"14",0,0.0609756097560976,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0304878048780488,0,0.024390243902439,0,0,0,0,0,0,0,0,0.121951219512195,0,0,0,0,0,0.731707317073171,0.0304878048780488,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0.0666666666666667,0,0,0,0,0,0,0.133333333333333,0,0,0,0,0,0,0,0,0,0,0,0.133333333333333,0.366666666666667,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0.176470588235294,0,0,0,0,0,0,0,0,0,0.0588235294117647,0,0,0,0,0,0,0,0,0.705882352941177,0,0,0,0.0588235294117647,0,0,0,0,0
"17",0,0,0,0,0.419847328244275,0.00763358778625954,0.0763358778625954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229007633587786,0,0,0,0,0,0.267175572519084,0,0,0
"18",0,0,0,0,0.375,0,0,0,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.0416666666666667,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0
"19",0,0,0,0,0,0,0,0,0.04,0,0,0,0,0.16,0,0,0,0,0,0,0,0.04,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0.2,0.28,0,0
"20",0,0,0,0,0,0,0.140350877192982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.789473684210526,0,0,0,0,0,0,0.0701754385964912,0,0
"21",0,0,0,0,0,0,0,0,0.121212121212121,0,0,0,0,0.151515151515152,0,0,0,0,0.121212121212121,0,0,0,0,0,0,0,0,0,0,0,0,0,0.606060606060606,0,0,0,0,0,0,0,0,0
"22",0,0,0.00662251655629139,0,0,0,0,0,0,0,0,0,0,0.198675496688742,0,0,0,0,0,0,0,0,0,0,0,0,0.33112582781457,0.132450331125828,0.264900662251656,0,0,0,0,0,0,0,0.0662251655629139,0,0,0,0,0
"23",0,0.20746887966805,0.04149377593361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004149377593361,0,0,0,0.746887966804979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",0,0,0,0,0,0,0,0,0,0,0.0546448087431694,0,0,0.0218579234972678,0,0.0218579234972678,0,0,0,0,0,0,0.0273224043715847,0,0,0,0,0,0,0,0,0,0.87431693989071,0,0,0,0,0,0,0,0,0
"25",0,0,0,0,0,0,0.032258064516129,0,0,0,0,0,0,0,0,0,0.032258064516129,0.225806451612903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.612903225806452,0,0,0,0.0967741935483871,0,0,0,0,0
"26",0,0,0,0.0327868852459016,0,0,0.327868852459016,0,0.163934426229508,0,0,0,0,0,0.0327868852459016,0,0,0,0,0.0327868852459016,0,0,0,0,0,0,0.327868852459016,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0819672131147541,0
"27",0,0,0,0,0,0,0.56701030927835,0.00859106529209622,0,0,0.00343642611683849,0,0,0,0,0,0,0,0,0.00859106529209622,0,0,0,0,0,0,0.257731958762887,0.13745704467354,0,0,0,0,0,0,0,0,0.0171821305841924,0,0,0,0,0
"28",0,0,0,0,0,0,0.0280898876404494,0.00280898876404494,0.308988764044944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168539325842697,0.365168539325843,0,0,0,0,0.126404494382022,0,0,0,0,0,0,0,0,0
"29",0,0,0.0116009280742459,0,0,0,0,0,0.00232018561484919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.986078886310905,0,0,0,0,0,0,0,0,0
"30",0,0,0,0,0,0,0.098159509202454,0,0,0,0,0,0,0,0,0,0,0.0368098159509202,0,0,0,0,0,0.0245398773006135,0,0,0,0.699386503067485,0,0,0,0,0.122699386503067,0,0,0,0.0122699386503067,0,0,0,0.00613496932515337,0
"31",0,0,0,0,0,0,0.405797101449275,0,0,0,0,0,0,0,0,0.579710144927536,0,0,0,0,0,0,0,0.0144927536231884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
