"plot","ARLU","ASHU","BADI","BOCU","CAHU","CARO","CEFE","CHAL","COAN","COCA","CRGR","ELEL","EPBR","ERAL","ERDI","ERNE","ERRA","ERspp","FEAR","GECA","HEMU","HEOB","HOWR","LACO","LASC","LASE","LIDA","LIMU","LOWR","LUAR","MACA","MUMO","MUST","MUWR","OEEL","OXLA","PAMU","PEVI","PHAN","PIPR","PSCO","PSMA","PSTE","QUGA","SATR","SCSC","TRRA","VETH","VIPU"
"1",0,0,0,0,0,0.040983606557377,0,0,0.00819672131147541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00819672131147541,0,0,0,0,0,0,0,0,0,0,0.942622950819672,0,0,0,0,0,0,0,0,0
"2",0.0175438596491228,0,0,0,0,0.614035087719298,0.043859649122807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0175438596491228,0,0,0,0,0,0,0,0,0.175438596491228,0,0,0,0,0,0,0,0.131578947368421,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0.0129198966408269,0,0,0,0,0.00516795865633075,0,0,0,0,0,0,0.0258397932816537,0,0,0,0,0,0,0,0,0,0.0258397932816537,0,0,0,0,0,0.930232558139535,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0.289855072463768,0,0,0,0,0,0,0,0,0,0.144927536231884,0,0,0,0,0,0,0.072463768115942,0,0,0,0,0,0,0,0,0.289855072463768,0,0.144927536231884,0,0,0,0,0,0,0.0579710144927536
"5",0,0,0,0,0,0,0,0,0.0178571428571429,0,0,0.178571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.803571428571429,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073394495412844,0,0,0,0,0,0,0,0.0091743119266055,0,0,0,0,0,0,0,0,0,0,0,0,0.91743119266055,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0.0606060606060606,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.0909090909090909,0,0,0,0,0,0,0,0.181818181818182,0,0,0,0,0,0,0,0,0
"9",0.16,0,0,0,0,0.04,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0.02,0,0,0.56,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0
"10",0,0,0,0,0,0.138888888888889,0,0,0,0,0,0.694444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0277777777777778,0,0,0,0,0.138888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,0,0.027027027027027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.972972972972973,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"14",0.0588235294117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.470588235294118,0,0,0,0,0,0,0,0.470588235294118,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,0,0,0,0.15625,0,0,0,0.0104166666666667,0,0,0,0,0.104166666666667,0,0,0,0,0,0,0,0,0,0,0.46875,0,0,0,0,0,0,0,0.260416666666667,0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193548387096774,0,0,0,0,0,0,0,0,0,0,0.709677419354839,0,0.032258064516129,0,0.0645161290322581,0,0,0,0,0
"17",0,0,0,0.3125,0.03125,0.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0,0.25,0,0,0
