"plot","ARLU","ASHU","BADI","BOCU","BREU","CAHU","CARO","CEFE","CHAL","CIWH","COAN","COCA","DEPI","ELEL","EPBR","ERAL","ERDI","ERNA","ERNE","ERSP","FEAR","HEMU","HOWR","LACO","LASE","LIDA","LIIN","LIMU","LINE","LOWR","LUAR","MUMO","MUST","MUWR","OEEL","PIPR","PSMA","QUGA","SATR","SCSC","TRRA","VETH","VIPU"
"1",0,0,0,0,0,0,0.146018502,0,0,0,0.350444404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008343914,0,0,0,0,0,0.49519318,0,0,0,0,0,0,0
"2",0.062845269,0,0,0,0,0,0.628452685,0.027725854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008977896,0,0.143451156,0,0,0,0,0,0,0,0.12854714,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0.026406429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.845005741,0,0.12858783,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0.134058675,0,0,0,0,0,0,0,0,0.80435205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043714785,0.01787449,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.851851852,0,0.148148148,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0.084357235,0,0,0,0,0,0,0.063267926,0,0,0,0,0,0,0.033742894,0,0,0,0,0.202457363,0,0,0,0,0,0,0,0,0,0.616174583,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.449877751,0,0,0,0,0,0,0,0,0,0,0.11002445,0,0,0,0.4400978,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.683783784,0,0,0,0,0,0,0,0,0,0,0.133783784,0,0,0,0.089189189,0,0,0,0.093243243,0,0,0
"9",0.272342825,0,0,0,0,0,0.32681139,0,0,0,0,0,0,0.040851424,0,0,0,0,0.040851424,0,0,0,0,0,0,0,0,0,0,0.006224979,0,0.298393008,0,0,0,0,0.014524951,0,0,0,0,0,0
"10",0,0,0,0,0,0,0.415162455,0,0,0,0,0,0,0.498194946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086642599,0,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0.082437276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.917562724,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0.067055394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.932944606,0,0,0,0,0,0,0
"14",0.108298999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63566804,0,0,0,0.247204238,0,0,0,0,0,0.008828723,0
"15",0,0,0,0,0,0,0.054393168,0,0,0,0,0,0,0.183576942,0,0,0,0.326359008,0,0,0,0.024174741,0,0,0,0,0,0,0,0,0,0.326359008,0,0,0,0.085137133,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,0.406337633,0,0,0,0.101584408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009674706,0,0,0,0,0,0.335670219,0.045148626,0.101584408,0,0,0,0,0
"17",0,0.28182437,0,0.273995916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030633084,0,0,0,0.061266167,0,0,0,0.352280463,0,0,0
"18",0,0,0,0.273739849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273739849,0.002027703,0.068434962,0,0,0,0,0,0,0,0,0,0.019836221,0,0,0,0.212908771,0,0,0.149312645,0,0,0
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0.075364909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157283289,0,0,0,0,0,0,0,0.164432529,0.602919273,0,0
"20",0,0,0,0,0,0,0.489622139,0,0,0,0,0,0,0.061202767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447046301,0,0,0,0,0,0.002128792,0
"21",0,0,0.031566487,0,0,0,0.194660003,0,0,0,0,0,0,0.656977509,0,0,0,0,0,0,0,0,0.116796002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",0,0,0,0,0,0.479333102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03195554,0,0,0,0,0,0,0,0,0,0,0.333449114,0.083362279,0,0,0,0,0.071899965,0,0,0,0,0
"23",0.278780839,0.278780839,0,0,0.223024671,0,0,0,0,0,0,0,0,0.008711901,0,0,0,0,0,0,0.004646347,0,0,0,0,0,0,0,0,0,0,0.206055403,0,0,0,0,0,0,0,0,0,0,0
"24",0,0,0,0,0,0,0.03868716,0,0,0,0.580307395,0,0,0.036269212,0,0,0,0,0.058030739,0,0.015474864,0,0,0,0,0,0,0.145076849,0,0,0,0,0,0,0,0.126153781,0,0,0,0,0,0,0
"25",0,0,0,0,0,0,0.07287706,0,0,0,0,0,0,0,0,0,0,0,0,0.437262357,0.145754119,0,0,0,0,0,0,0,0,0,0,0.019011407,0,0,0,0.237642586,0,0.087452471,0,0,0,0,0
