"plot","ARLU","ASHU","BADI","BOCU","BREU","CARO","CEFE","CHAL","CIWH","COAN","COCA","CRFE","ELEL","ERDI","ERNA","ERNE","ERSP","FEAR","GECA","HEMU","HEOB","HOWR","KOMA","LIDA","LIMA","LIMU","LOWR","LUAR","MUMO","MUST","MUWR","PAMU","PIPR","PSMA","QUGA","SATR","SCSC","SOTR","SOVE","STTE","TRRA","VETH"
"1",0,0,0,0,0,0.0425531914893617,0,0,0,0.0212765957446809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.936170212765957,0,0,0,0,0,0,0,0,0
"2",0.0143884892086331,0,0,0,0,0.431654676258993,0.0719424460431655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0143884892086331,0,0.179856115107914,0,0.107913669064748,0,0,0,0,0,0.179856115107914,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0.175,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0.575539568345324,0,0.0359712230215827,0,0,0,0,0.0287769784172662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0719424460431655,0.287769784172662,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0.0526315789473684,0,0,0,0,0.105263157894737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.842105263157895,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,0.0151975683890578,0,0,0,0,0.060790273556231,0,0,0,0.0121580547112462,0,0,0,0,0,0,0,0,0,0,0.911854103343465,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0.0178571428571429,0,0,0,0,0,0,0,0,0,0,0,0.0446428571428571,0,0,0,0,0,0,0,0,0,0,0.133928571428571,0,0,0,0.803571428571429,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.476190476190476,0,0,0,0,0,0,0,0,0,0,0.19047619047619,0,0,0,0.285714285714286,0,0,0,0.0476190476190476,0,0,0,0,0
"9",0.0555555555555556,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0.0277777777777778,0,0,0,0,0,0,0,0,0,0,0.0277777777777778,0,0.722222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0.15625,0,0,0,0,0,0,0.703125,0,0,0,0,0,0,0,0,0,0,0.03125,0,0,0,0,0.078125,0,0,0,0,0,0.03125,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.875,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,0,0,0.0163934426229508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.983606557377049,0,0,0,0,0,0,0,0,0
"14",0.0175438596491228,0,0,0,0,0,0,0.0175438596491228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.701754385964912,0,0,0,0.175438596491228,0,0,0,0,0,0,0,0,0.087719298245614
"15",0,0,0,0,0,0.0267379679144385,0,0,0,0,0,0,0.053475935828877,0,0.0106951871657754,0,0,0,0,0,0,0,0,0,0,0,0,0,0.641711229946524,0,0,0,0.267379679144385,0,0,0,0,0,0,0,0,0
