"","plot","ARLU","ASHU","BADI","BOCU","BREU","CAHU","CARO","CEFE","CHAL","CIWH","COAN","COCA","DEPI","ELEL","EPBR","ERAL","ERDI","ERNA","ERNE","ERSP","FEAR","HEMU","HOWR","LACO","LASE","LIDA","LIIN","LIMU","LINE","LOWR","LUAR","MUMO","MUST","MUWR","OEEL","PIPR","PSMA","QUGA","SATR","SCSC","TRRA","VETH","VIPU"
"1",1,0,0,0,0,0,0,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,26,0,0,0,0,0,0,0
"2",2,0.2,0,0,0,0,0,4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,3.5,0,0,0,0,0,0,0,1.5,0,0,0
"3",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0
"4",4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0.2,0,0,0,0,0,0
"5",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,6,0,0,0,0,0,0,0
"6",6,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.25,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
"7",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,6,0,0,0,0,0,0,0
"8",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,2,0,0,0,0.5,0,0,0
"9",9,1.25,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.2,0,10.5,0,0,0,0,0.2,0,0,0,0,0,0
"10",10,0,0,0,0,0,0,1.25,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"11",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
"12",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
"13",13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0
"14",14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,7,0,0,0,0,0,0.25,0
"15",15,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0.25,0,0,0,2,0,0,0,0,0,0,0,0,0,23,0,0,0,12,0,0,0,0,0,0,0
"16",16,0,0,0,0,0,0,0,0,0,0.5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,19,0.5,2.5,0,0,0,0,0
